P00027739T0000|0 28|Serum gamma glutamyltransferase
P07765118A0967|21 42|ACC-oxidase transcripts
P07766885A0405|121 151|calmodulin-like regulatory domain
P07768848A1880|110 119|cotJ operon
P07768898A0492|135 141|apobec1
P07768953T0039|92 116|calmodulin-binding IQ motif
P07772036A1000|28 41|nuclear factors
P07772036A1000|108 110|NF1
P07774807A0405|3 14|bHLH proteins
P07774807A0405|58 77|tissue-specific genes
P07776685A0000|111 123|interleukin-2
P07779811A0901|38 40|Sp1
P07779812A0000|3 11|c-myc gene
P07780148A1153|11 13|PML
P07780738A0091|90 93|PCNA
P07782302A0479|147 152|RanBP1
P07782775A0889|83 97|BBTV coat protein
P07783064A0452|60 75|creatinine kinase
P07783641A0591|0 3|CodY
P07784078A1064|72 79|RAR alpha
P07784078A1064|82 84|PML
P07784079A1018|176 183|basic FGF
P07784942T0001|11 24|thrombomodulin
P07789342A1352|39 39|R
P07789809A1246|50 52|Ypt
P07789809A1246|86 88|Ypt
P07789971A0758|208 212|GSTT2
P07791760A0424|115 133|immune complex kinase
P07791763T0000|109 115|insulin
P07791768A0930|132 135|SIR1
P07791769A0826|0 3|ICP4
P07791776T0000|18 21|fus1
P07796935A0284|207 210|TREs
P07796935A0284|232 234|LAP
P07797077A0842|177 186|ISGF3 gamma
P07797077A0842|156 160|IRF-1
P07797077A0842|162 166|IRF-2
P07797583A0222|118 144|transcription initiation site
P07798207A0759|122 124|ETF
P07798217T0000|27 33|CREB341
P07798217T0095|8 31|glycogen synthase kinase-3
P07799437A0656|59 61|Myc
P07799925A0526|143 145|p62
P07799925A0526|35 37|p62
P07799925A0526|175 177|SH2
P07799931A0287|63 68|L7 gene
P07799931A1232|53 57|c-Maf
P07799948A0777|79 81|Src
P07799948A0777|115 119|Raf-1
P07799948A0777|95 97|Src
P07799950A0282|141 144|CREB
P07800505T0000|35 72|human 85 kDa cytosolic phospholipase A2 gene
P07802655T0000|96 119|L14 ribosomal protein genes
P07803809A1852|88 101|tyrosine kinase
P07803809A1852|126 139|protein kinase C
P07803809A1852|32 33|Ep
P07806507A0121|93 99|CD3 zeta
P07807002A0500|182 184|IgE
P07809128T0000|22 29|E2F1 gene
P07811639A0222|0 16|Endo16 transcripts
P07811964A1252|74 79|EmBP-1
P07812450A0849|58 65|nspC gene
P07813466A0074|147 151|hsc70
P07813786A0641|61 75|XMyoDa TATA motif
P07814321A0850|21 24|ponA
P07814323A0313|50 53|FliR
P07815811A1487b|32 43|endothelin-1
P07816619A0872|191 193|Dr1
P07816808A1102|27 42|STR family of genes
P07822161A1172|43 55|human sequence
P07823919A1422|102 106|ARP-1
P07823953A0777|233 248|C-terminal region
P07826625X0000|136 138|CTD
P07826625X0000|119 134|C-terminal domain
P07826625X0000|306 334|mammalian TATA-binding proteins
P07828584A0681|36 40|c-Fos
P07828584A0681|53 70|AP1 bearing promoter
P07829519A1251|145 170|immunoglobulin mu heavy chain
P07832779A0719|48 62|mutant receptors
P07834582A0115|38 44|n-3 EFAs
P07835273A0000|61 75|insulin receptor
P07835710T0000|25 56|porcine I kappa B alpha-encoding gene
P07835886A0894|173 202|corticosteroid-binding globulin
P07836364A0000|61 90|major histocompatibility complex
P07836364A0000|148 150|APC
P07836406A0884|72 81|cdc2 kinase
P07838156A0789|169 176|ROR alpha
P07841663A0685|20 22|SOD
P07841663A0845|99 101|SOD
P07844142A0640|109 113|SRP54
P07844142A0640|129 145|GTPase superfamily
P07844155A0327|98 108|LAR isoforms
P07851758A0330|53 57|spt14
P07852400A0519|67 70|Rac1
P07853488T0000|136 150|P1 capsid protein
P07853524A1944|34 41|thrombin
P07853524A1944|50 52|Tax
P07853524A1944|12 14|GST
P07853524A1944|80 82|Tax
P07853524A1944|29 31|Tax
P07853524A1944|84 87|CREB
P07853524A1944|25 27|GST
P07854130A1387|16 19|PilE
P07854130T0000|118 138|type 4 prepilin proteins
P07856102A1616|38 45|M protein
P07857762A0611|3 11|MAP kinase
P07859301A0325|110 145|myc-related transcription factor family
P07859777A0000|29 32|rHSA
P07859777A0000|16 27|serum albumin
P07860208A0000|44 47|IL-1
P07860208A0000|79 81|TNF
P07860646A1363|96 100|FGF-2
P07862129A1391|132 138|TTR gene
P07862141A0317|55 58|cAPK
P07862150A0429|114 121|TGF-beta
P07862150A0429|194 201|TGF-beta
P07862150A0429|39 46|TGF-beta
P07862154A0340|83 86|RAF1
P07864709A0324|213 221|M2 protein
P07865129A0293|26 28|TBP
P07865129A0293|20 22|CRE
P07865787A1086|156 173|wheat histone H3 gene
P07865876A1292|76 78|E2F
P07865876A1292|111 113|E2F
P07871718A1132|81 96|GABP alpha and beta
P07871721A0000|121 124|p223
P07871721A0392|93 96|p223
P07871891A0227|51 69|ribosomal protein S13
P07872673A0332|133 144|SV40 promoter
P07874060A0810|50 64|xanthine oxidase
P07875595A0910|14 27|PITSLRE PK genes
P07876192A0443|102 104|ICE
P07876194T0000|110 123|tyrosine kinase
P07876194T0000|110 129|tyrosine kinase domain
P07876300A0994|3 5|p97
P07877619A1284|61 70|zif268 gene
P07877619A1284|174 183|zif268 gene
P07878040A0505|46 58|mouse enhancer
P07879204T0000|0 3|OKT3
P07880442A0236|75 84|S1 nuclease
P07883193A0000|175 198|glutathione S-transferase
P07885999A0000|72 90|mouse tyrosinase gene
P07887226A0858|32 41|hemoglobin
P07888623A0721|127 141|MAP kinase MsERK1
P07888828A0765|43 54|RH-like genes
P07890674A0916|60 69|E-cadherin
P07890674A0916|54 56|APC
P07890674A0916|23 32|E-cadherin
P07890674A0916|17 19|APC
P07891685A1051|128 139|CAT8 promoter
P07891708A0690|8 12|HNF-4
P07891713T0000|74 97|NF-E2 transcription factor
P07891720A0818|26 28|C1F
P07896088A0720|146 149|RIF1
P07896088A0720|95 98|RIF1
P07896846T0000|100 129|human beta-myosin heavy chain gene
P07896852T0000|38 42|Egr-1
P07897359A0354|85 129|recombinant vaccinia virus-encoding T7 polymerase
P07899581A0000|112 130|superoxide dismutase
P07899581A0000|55 73|superoxide dismutase
P07899581A0000|75 77|SOD
P07901125A0416|90 103|ARO3 homologues
P07902583A0545|130 134|Grf10
P07902583A0545|45 49|Grf10
P07903099A0918|42 51|IVS2C beta 1
P07906265A0897|60 70|fasD mutants
P07908827A1200|212 231|RAR responsive element
P07910946A0323|188 191|IL-2
P07910946A0323|203 204|L2
P07914192A0211|190 196|TATA box
P07914192A0211|202 218|human HER2 promoter
P07914700A0000|50 52|PKR
P07916003A0688|147 155|human gene
P07916326A0000|106 110|Msx-1
P07916327A0250|27 44|human goosecoid gene
P07916689A1407|104 123|Y. lipolytica LEU2 gene
P07916983A0623|58 59|N1
P07917016A0581|24 54|zinc finger domain protein sequence
P07917540A0000|134 143|interferon
P07918097T0000|46 74|epidermal growth factor-repeats
P07918494A1163|51 70|thioredoxin reductase
P07919540A1119|90 92|Myc
P07922709T0000|22 47|hematopoietic growth factors
P07926748A0383|88 91|not1
P07929165T0000|28 38|actVI region
P07929431A0949|105 107|CAT
P07929431A0949|72 103|chloramphenicol acetyltransferase
P07929560T0000|19 43|plakoglobin-binding domain
P07933066T0000|116 119|DP-1
P07933076A0211|54 80|viral latent membrane proteins
P07933095A0000|157 159|Sp1
P07933101A0131|38 48|TATA element
P07933101A0131|70 72|Tat
P07933107A0991|84 86|E75
P07935370A0000|26 28|CD4
P07935375A1197|68 72|v-src
P07935418A0447|117 132|nuclear receptors
P07935426A0714|30 55|N-terminal zinc finger domain
P07935451T0000|44 52|NF-kappa B
P07935451T0000|143 151|c-rel gene
P07935471A0613|131 135|hHSF1
P07935471A0613|17 19|HSF
P07935491A0495|46 67|orphan nuclear receptors
P07935577A0305|131 133|CSF
P07935997A0000|43 62|serum immunoglobulins
P07936635A1134|68 83|wild-type protein
P07936640A0900|192 205|endogenous gene
P07936650A1752|37 45|ets-2 gene
P07937108A0325|52 65|RNA polymerase I
P07937112A0220|114 126|recombinant Ku
P07937132A0819|11 13|U21
P07937656A0182|252 263|serum albumin
P07937656A0182|198 221|serum alkaline phosphatase
P07937656A0182|203 221|alkaline phosphatase
P07937841A0790|38 40|p53
P07937841A0790|108 124|myb oncogene family
P07937954A0612|108 116|MAP kinase
P07937965T0000|6 10|c-myc
P07945330A0103|58 66|Rex-1 gene
P07945937A0358|216 226|Egr1 protein
P07947930A0499|3 12|fibrinogen
P07947930A0499|14 26|serum proteins
P07948129A0297|107 109|CAT
P07949164A0799|47 49|CAT
P07949164A0799|29 39|kappa B motif
P07949164A0799|90 101|IL-6 promoter
P07951410A0647|161 164|DP-1
P07951410A0647|51 54|DP-1
P07951410A1332|106 116|E1A promoter
P07957085A0207|0 3|Cbf3
P07957106A0471|38 40|GST
P07957106A0875|100 103|VP16
P07957559A1557|90 100|p70 S6 kinase
P07958865A1152|97 99|Tek
P07958898A1050|120 122|Sp1
P07958898A1050|124 127|VP16
P07958898A1050|132 136|NTF-1
P07958915A1507|164 197|calmodulin-dependent protein kinases
P07958920A1157|147 155|RNase P RNA
P07959011A0379a|39 55|rat class-I ADH gene
P07959011A0379b|39 55|rat class-I ADH gene
P07959015A0478|90 94|rAMPK
P07959734A0194|80 117|lentil-lectin-binding glycoprotein Gp135
P07959760A0763|334 342|Fli-1 gene
P07961755A0474|65 81|cysteine synthase C
P07961957A1565|44 48|TEF-1
P07963540A0795|83 87|c-Rel
P07963540A0795|33 43|kappa B motif
P07964162A0941|46 54|MAP kinase
P07964624A0491|3 9|P131 ORF
P07964624A0491|113 119|P131 ORF
P07967360A1048|77 79|IgA
P07969132A0268|134 137|gcn2
P07969136A0273|134 153|kappa light-chain gene
P07969954T0000|49 51|IgM
P07971709A0907|56 62|rhG-CSF
P07972012A0956|212 242|protein-serine phosphatase domain
P07972831A0563|0 4|PAI-1
P07980440A0138|107 113|insulin
P07981246A0112|158 162|c-fos
P07982995A0000|107 109|Na+
P07983715A0996|217 238|luciferase reporter gene
P07983716A1082|147 154|Y88L RNAs
P07983744A0920|27 31|IE110
P07983744A0920|121 125|IE110
P07984088A0592|113 116|PrfA
P07988559A0836|20 29|RBP-J kappa
P07988730A0220|92 123|chloramphenicol acetyltransferase
P07988730A0220|76 78|LTR
P07988730A0220|125 127|CAT
P07988730A0220|206 234|viral transactivator tax protein
P07988731A0002|174 178|G-box
P07988731A1301|69 85|GBF protein complex
P07990136A1124|175 205|mammalian polIII ternary complexes
P07994021A1223|64 78|PECAM-1 isoforms
P07999982A0086|60 64|D9S15
P07999995A0000|28 33|OsPK10
P08001136T0000|67 71|TFIIK
P08001792A0284|90 105|adenylate cyclase
P08001792A0284|53 68|adenylate cyclase
P08002564A0249|57 72|C-terminal region
P08002564A0249|78 89|alpha subunit
P08003700T0000|137 144|atpA loci
P08005230A0222|50 52|EPO
P08005230A0222|146 155|luciferase
P08007975A0000|3 10|IPL1 gene
P08013457A0342|71 92|tyrosine kinase receptor
P08016102A1238|73 81|NF-kappa B
P08016102A1238|201 204|HO-1
P08021175A0486|92 115|cyclic AMP receptor protein
P08021177A0000|148 166|Fur repressor protein
P08023662T0000|64 74|prothrombin
P08025669A0724|30 33|rpoN
P08028671A0687|94 115|cAMP responsive promoter
P08029001A1020|67 81|RNA polymerase II
P08030239A0833|221 235|EHV-1 IE promoter
P08030243A1011|118 121|NS35
P08034486A0579|42 54|HSV-1 antibody
P08034680A0180|35 43|NF-kappa B
P08034680A0180|88 100|I kappa B kinase
P08035499A0941|125 144|protein-DNA complexes
P08035517A0753|77 81|IEP72
P08035796A0890|165 174|eIF-2 alpha
P08035796A0890|43 52|eIF-2 alpha
P08035796A0890|119 128|eIF-2 alpha
P08035833A1556|31 34|RMIP
P08037338A0000|31 44|erythropoietin
P08037338A0000|46 48|EPO
P08037338A0000|117 119|EPO
P08041362T0000|19 38|cysteine synthase cDNA
P08044794A0000|42 44|p53
P08044802A0462|128 130|p53
P08045431A0894|39 61|rubredoxin-like proteins
P08048916A0000|7 22|insulin receptors
P08049444A0351|219 222|SARs
P08051059A1000|99 111|RhlR regulator
P08051074A0000|136 141|DNase I
P08051102A0532|70 93|B subunit-containing forms
P08055939A0159|62 72|H1 molecules
P08055941A1264|86 109|native alpha 3 beta 60 enzyme
P08057421A1583|196 201|Cp site
P08058326A0463|103 112|murine gene
P08062824A0626|134 140|FKBP-12
P08062833A0000|115 148|helix-loop-helix myogenic regulators
P08063108A0109|3 10|acfD gene
P08063766A0595|75 82|alpha PKC
P08063836A0904|28 32|c-myc
P08063836A0904|88 92|c-Abl
P08063836A0904|14 18|c-Abl
P08065338T0000|3 53|Oct-2 glutamine-rich and proline-rich activation domains
P08065365A0000|52 59|pre-mRNA
P08065901A0997|156 167|KRAB-A domain
P08067123A0248|195 199|HBsAg
P08067546A0000|107 109|STP
P08070654A0000|0 3|KAR1
P08070654A0574|91 100|caltractin
P08072352A0567|119 121|IgE
P08072547A0690|61 65|c-Jun
P08072547A1009|57 61|c-Jun
P08072547A1009|125 129|c-Fos
P08072547A1009|75 79|c-Fos
P08072547T0000|0 4|c-Fos
P08072547T0000|86 88|ERK
P08075070A1632|168 186|DNA-binding proteins
P08075421A0621a|50 54|HrpJ2
P08075421A0621b|50 54|HrpJ2
P08076631A0000|31 34|AP-1
P08076631A0000|73 76|AP-1
P08076937A0851|137 156|Tru9I restriction site
P08078473A1107|43 47|ste13
P08083011A0584|111 111|R
P08083220A0988|161 196|serum response factor-DNA binary complex
P08083963A0795|99 104|DNase I
P08084339A0907|145 159|TCR C alpha region
P08086450A0467|182 185|AP-2
P08086450A0467|178 180|Sp1
P08086453T0000|55 67|human APEX gene
P08087887A1067|3 19|polyubiquitin gene
P08088513A0419|117 136|U2 spliceosomal snRNAs
P08088818A1053|140 148|RAD52 gene
P08089184A0825|42 50|dagA locus
P08090746A1288|154 159|E4 gene
P08091665T0000|74 90|type II TNF receptor
P08091669A0828|117 127|ie1 promoter
P08091669A0828|62 64|IE1
P08093450A0688|76 107|chloramphenicol acetyltransferase
P08093450A0688|143 153|NRF-1 motifs
P08093616A1214|0 5|DNase I
P08093616T0000|152 182|proliferating cell nuclear antigen
P08093642A0600|175 185|D10S94 locus
P08094464A0869|96 99|aroF
P08098842A0660|125 129|c-fos
P08099443A0359|118 121|GCN4
P08099443A0359|96 99|GCN2
P08099443A0359|42 51|eIF-2 alpha
P08100843A0134|132 136|mCD22
P08100843A0134|87 91|mCD22
P08101839A0000|73 84|mdr1 promoter
P08103379A0577|45 54|MADS domain
P08103935T0000|30 49|SRF accessory proteins
P08104189A1168|116 150|Golgi-associated vacuolar-type ATPase
P08105727A0099|12 27|dopamine receptor
P08105994T0000|32 61|serum gamma-glutamyl transferase
P08106313A1492|151 170|HrpL-responsive genes
P08106325A0000|140 158|diphtheria toxin gene
P08106512A0522|146 172|interferon regulatory factor 1
P08111035A0098|103 120|beta-glucuronidase
P08111974A1034|62 72|tubulin mRNA
P08112601T0000|87 104|recombinant protein
P08112870A0484|56 58|SOD
P08113736A0309|21 29|CRSV RNA-1
P08113736A0309|147 155|CRSV RNA-1
P08114702A0000|52 55|MEF2
P08114710A0137|81 85|TFIID
P08119149A0000|26 33|TNF alpha
P08119907A0000|50 56|insulin
P08119907A0000|60 85|insulin-like growth factor-I
P08119995A0814|36 38|T3R
P08120029A0864|107 108|R2
P08122364A0954|153 175|trans-activating protein
P08122370A0331|36 53|herpes simplex type 1
P08125258A0142|48 55|CHOP gene
P08125319A1085|3 11|ipiO genes
P08125949A1162|180 182|L12
P08129955A0572|39 43|CK-MB
P08131746A0140|92 100|MEK kinase
P08132541A0000|29 55|T-cell-specific human MAL gene
P08132574A0831|99 118|cytochrome CYP1A1 gene
P08134108A0277|3 7|c-myc
P08134115A1161|42 44|GST
P08138180A0593|90 101|SPT10 protein
P08139001A1235|52 69|NS1 protein molecule
P08139017A1465|191 200|Tpl-1 locus
P08139542A1229|39 42|CPA1
P08139542T0000|43 50|CPA1 gene
P08139543A1520|74 77|SLT2
P08139562A0404|71 74|GCN4
P08139562A0404|140 143|GCN4
P08144037A0000|12 13|TR
P08144497T0000|24 34|raf-1 kinase
P08144572A0786|132 135|DnaK
P08144615A0533|71 87|NF-IL6 bZIP domains
P08144631A0000|84 86|SH2
P08145646T0000|124 127|rpoN
P08145770A1078|53 55|PKC
P08148463A0000|182 190|multi-CSF
P08148756A0358|82 91|hemoglobin
P08149484A1551|149 165|non-AP-1 sequences
P08149484A1551|142 145|AP-1
P08150970A0434|90 95|TSST-1
P08150970A0434|19 24|TSST-1
P08151787A0355|109 113|IE110
P08151787T0000|91 95|IE110
P08151790A0354|100 102|Sp1
P08152800A0357|108 111|PEA3
P08152800A0709|159 169|Ets proteins
P08157009A0264|96 99|AP-1
P08157009A0264|140 169|plasma membrane AP-2 sigma subunit
P08157009T0000|149 160|Golgi complex
P08157009T0000|88 91|AP-1
P08160905A0217|59 63|HBsAg
P08163183T0000|104 114|XylA enzymes
P08164661A0414|135 157|RNA polymerase III factors
P08164679A0809|93 102|Runt domain
P08164684A1266|72 95|heterodimeric-DNA complex
P08170400T0000|47 80|Escherichia coli transcription factor
P08172653A1589|134 151|TnT multigene family
P08173532A0000|86 87|S1
P08173532A0000|48 49|S2
P08173532A0000|103 104|S2
P08178446A1160|18 22|ICP10
P08178446A1160|46 48|ras
P08182041A1067|83 89|insulin
P08182041A1067|103 106|CREB
P08182041A1067|65 67|PKA
P08182041A1067|152 158|insulin
P08182056A0695|121 133|NQO gene family
P08183552T0000|27 40|tyrosine kinase
P08183915A0000|33 36|p105
P08183915A0000|83 91|NF-kappa B
P08183915A0000|181 184|p105
P08183915T0000|79 98|I kappa B gamma isoforms
P08183915T0000|21 34|RNA transcripts
P08187085A0086|64 83|tyrosine kinase domain
P08187085A0086|64 77|tyrosine kinase
P08188258A0000|73 97|aminoacyl-tRNA synthetases
P08188290A0544|144 160|TCRAJ gene segments
P08188603A0230|159 163|CPS-A
P08189498T0000|18 36|immediate-early gene
P08189503A0000|11 25|full-length cDNA
P08189533A0919|120 123|NS53
P08190633A0000|69 76|HLA locus
P08190633A0000|22 25|AP-2
P08194549A0000|88 89|CP
P08195216A1022|177 180|TRP3
P08196616A1112|148 153|ZAP-70
P08196616A1112|79 84|ZAP-70
P08196616A1112|30 35|ZAP-70
P08196616A1112|218 227|SH2 domains
P08196618A0473|0 4|PRL-1
P08196624A0593|152 166|type II receptors
P08199204A0746|46 48|PKC
P08200528A0970|156 159|REP2
P08202546A1206|27 39|hUBF-promoter
P08204348T0000|0 4|VP-16
P08204824A0000|19 27|cyc07 gene
P08206848A0296|10 18|pyrP genes
P08206991A0466|146 150|Cys-6
P08207022T0000|41 75|Spo0A sporulation transcription factor
P08207232A0503|134 145|IL-8 promoter
P08207405A0372|188 197|HSP70 genes
P08208247T0030|63 91|glutamic acid decarboxylase gene
P08208540A0000|19 27|NFKB2 gene
P08208540A1114|171 178|NFKB2 p52
P08208618A1334|56 58|Sp1
P08209423T0000|105 125|viral glycoprotein gene
P08223425T0000|3 15|yeast SSS1 gene
P08223554A0574|44 60|recombinant enzyme
P08223576A1261|31 38|T protein
P08223576A1261|117 124|T protein
P08223592A0424|7 16|CCAAT boxes
P08223613A0519|169 172|TPS3
P08223875A0711|75 78|CD45
P08223875A0711|144 147|CD45
P08226777A0936|40 45|DdPTPa
P08226798A1124|27 45|HIV envelope proteins
P08226956A1397|68 75|fad7 mRNA
P08227129T0000|51 58|C protein
P08227129T0000|86 106|immunoglobulin C2 motif
P08228805A0540|110 112|TCR
P08228805A0540|26 28|TCR
P08228805A0540|116 136|protein tyrosine kinase
P08230418A0812|30 32|LTR
P08230445A0000|161 163|Gag
P08230452A1489|93 95|VP1
P08231398A0802|242 244|CD4
P08232304A1166|133 164|chloramphenicol acetyltransferase
P08234276A0556|44 55|IL-8 promoter
P08237578A0253|90 104|HDL-cholesterol
P08245013A0000|69 93|G-protein-linked receptors
P08245125A0822|70 74|actin
P08246984A0923|150 152|p85
P08246987A0260|76 78|SH2
P08248246A0838|29 31|Sp1
P08248253A1785|59 74|chicken L-CAM gene
P08253777A0301|105 113|Kv1.5 gene
P08253958A0000|95 97|IgG
P08253958A0000|79 93|immunoglobulin G
P08254738A0428|181 197|wild-type T antigen
P08257754A0711|125 136|HB antibodies
P08259650A0640|31 36|HA gene
P08260635A0926|120 123|GapB
P08262067A1608|31 35|Cdc43
P08263933T0000|19 34|P-type ATPase gene
P08264579A1209|12 15|PTR2
P08264582A0750|166 169|LIFR
P08264591A1190|58 62|TFIIB
P08264591A1190|40 54|RNA polymerase II
P08264617A0000|123 128|ErbB-3
P08264628A0418|90 94|TFIID
P08264628A0418|99 104|TFIIIB
P08264631A0746|99 119|ADH2 promoter sequences
P08264650A0925|60 63|MDS1
P08269424A0339|41 43|TRH
P08274774A0958|128 133|TMV-U5
P08276234A0119|91 95|c-fos
P08276762T0000|51 76|gramicidin S synthetase 2 gene
P08276851A0347|109 127|ATP-binding proteins
P08276854A1894|35 53|decorin gene promoter
P08276865A1188|115 123|MAP kinase
P08276865A1188|64 84|epidermal growth factor
P08278548A0597|134 144|psaE product
P08280476A0602|116 130|ETS-binding site
P08280925A0261|153 155|IgM
P08280925A0261|159 179|IgG anti-KLH antibodies
P08280925A0261|159 161|IgG
P08281536A0626|0 12|Interleukin-6
P08281634A1801|41 48|ferritin
P08281740A0000|103 115|IgG antibodies
P08282576A0297|36 37|T1
P08284227A0336|98 104|Id1 mRNA
P08288633A0144|253 264|Rho subfamily
P08289341A1202|36 37|E2
P08289341A1202|80 81|E2
P08289793A1226|92 129|Oct4 embryonic stem cell-specific enhancer
P08289831A0290|14 16|CAT
P08289831A0290|137 145|gamma RE-1
P08289834A0341|49 56|TGF-beta
P08290278A0374|17 19|Mad
P08290278A0374|35 37|Myc
P08291233A0000|104 111|U3 region
P08291761A0416|63 65|IgG
P08293993A0948|0 2|ENV
P08294429A0153|159 169|hGH promoter
P08294429A0153|73 104|chloramphenicol acetyltransferase
P08298129A0274|80 96|beta 3 gene promoter
P08298129T0000|54 75|human beta 3 integrin gene
P08300605A0671|22 47|homeodomain-binding element
P08300625A1352|26 29|slyD
P08300625A1352|110 113|slyD
P08302589A1132|78 91|protein kinase C
P08304342A0605|232 236|HLA-A
P08306959A0278|124 126|GAS
P08307338A0227|75 107|mitochondrially encoded cytochrome b
P08308008A0201|148 160|COXIV promoter
P08309953A0776|27 42|dopamine receptor
P08314163T0000|110 117|rhGM-CSF
P08316240A1068|94 112|MluI restriction site
P08317092A0304|98 115|RNA polymerase motif
P08317092A0304|3 18|C-terminal region
P08317094A0778|92 104|early promoter
P08321199T0000|107 114|HMR locus
P08321203A0840|0 8|NF-kappa B
P08323294T0000|0 27|Chicken sterol carrier protein 2
P08325504A0226|14 21|RD21 mRNA
P08325639A0129|203 211|ubiquitin
P08325883A0368|56 74|RNA recognition motif
P08327488A0839|186 197|wild-type p70
P08331728A0686|9 39|U2 small nuclear ribonucleoprotein
P08332495A0408|153 154|DC
P08332495A0408|25 27|CAT
P08334989A0070|184 205|luciferase reporter gene
P08336012A0632|102 103|FN
P08336543A0243|27 36|L1 elements
P08336698T0000|71 74|TFE3
P08336698T0000|56 59|TFE3
P08343216A0883|52 54|IgG
P08343216A0883|12 14|IgG
P08345191A1140|116 119|MCL1
P08349104A0450|174 177|lacZ
P08350061A0209|54 60|CD8 gene
P08350398A1616|125 130|alpha 2
P08352066A0000|36 37|E2
P08355697A0000|69 72|PTKs
P08356792A1275|34 43|N-terminus
P08356944A0589|63 72|hemoglobin
P08357834A0285|220 240|human PKC family members
P08361754A0733|70 88|Maf-related proteins
P08361755A0734|117 119|Tax
P08361755A0734|48 56|NF-kappa B
P08361761A0174|88 90|Sp1
P08361761A0174|389 403|Sp1 binding sites
P08367487A1014|155 173|anti-PRP9 antibodies
P08370119A1521|161 174|luciferase cDNA
P08370119A1521|161 170|luciferase
P08376397A0788|75 88|mutant E2F sites
P08376397A0788|58 60|E2F
P08376796A0172|125 128|IgG1
P08376796A0172|116 118|IgG
P08376796A0172|187 193|insulin
P08382303A0507|118 124|E1 genes
P08382769A0924|129 133|SRP54
P08382769A0924|129 140|SRP54 protein
P08383214A0389|73 94|C-terminal RNase H domain
P08383217A0357|145 148|VP16
P08383526A0591|46 60|receptor protein
P08383622T0000|48 64|cytochrome oxidase
P08383850A0206|38 45|beta-FNA
P08384309A0000|166 182|DNA binding protein
P08385131A0000|97 115|GTP-binding proteins
P08385581A0126|60 65|REC114
P08385581A0126|16 21|REC114
P08386317T0000|88 91|CREB
P08386317T0000|72 75|CREB
P08386318A1102|158 162|Raf-1
P08386318A1102|76 89|protein kinase C
P08387155A1248|81 85|c-Fos
P08387155A1248|42 46|c-Jun
P08387507A1015|176 197|dominant-acting factors
P08387743A0624|134 155|Mn-superoxide dismutase
P08387994A0980|94 112|chromosomal attB site
P08388543A1263|81 83|Ras
P08388543A1263|181 183|Ras
P08388543A1263|109 122|protein kinase C
P08389074A1227|33 39|EIAV Tat
P08393143A1281|61 74|viral tat factor
P08394019A0695|127 129|Fyn
P08394019A0695|18 20|GST
P08394019A0695|45 47|Fyn
P08394019A0695|59 61|SH2
P08394019A0695|48 50|SH2
P08395004A0558|98 129|nonhistone chromosomal protein HMG1
P08395014A1364|114 117|PPZ2
P08395654T0000|72 87|rat aromatase gene
P08395681A0388|263 294|RB-nonbinding adenovirus E1A mutant
P08395681A0388|204 224|retinoblastoma protein
P08396120A0690|3 28|rhaB transcription start site
P08396261A0388|443 455|C alpha protein
P08396913A1379|88 94|DGK gene
P08397123T0000|53 91|human corticotropin-releasing hormone gene
P08400240A0166|162 177|gamma-globin mRNA
P08401570A0828|57 59|Sp1
P08401614A0187|74 77|PAL3
P08405433A0000|74 75|P3
P08405433A0000|79 80|P4
P08405433A0000|71 72|P2
P08406004A0691|192 195|PU.1
P08406004A0691|39 42|PU.1
P08408194T0000|102 104|Na+
P08410097A0356|168 177|fibrinogen
P08412620A0688|131 134|VirF
P08412662A0333|110 127|8.0 kb EcoRI fragment
P08412665A0000|134 137|ScrR
P08413209A0159|83 101|DNA-binding proteins
P08413215A0327|91 102|IL-8 promoter
P08413239A0490|159 173|vertebrate 3' box
P08413260A1437|24 32|Rb protein
P08413291A1473|29 31|TnI
P08415637A0000|117 125|G proteins
P08415637A0000|97 115|GTP-binding proteins
P08415643A0555|50 53|RCC1
P08416977A0892|34 38|CTDK2
P08417331A0745|148 151|Tup1
P08420571A1880|22 24|PC4
P08421295A0365|111 123|LexA repressor
P08421910A0599|99 104|TAR RNA
P08421910A0599|68 70|p56
P08425050A0898|38 41|rpeA
P08428940A1763|162 169|merR mRNA
P08428940A1763|50 51|PR
P08428953A1718|61 78|beta-galactosidase
P08428965A1868|30 32|CBP
P08429019A0735|3 8|DNase I
P08430095A0161|88 92|PRP38
P08432137A0000|214 216|IFN
P08437521A0000|245 248|areA
P08438584A0524|94 98|V1 ORF
P08439564A0883|69 86|rat intrinsic factor
P08440238T0000|12 21|C-terminus
P08441379A0912|211 218|IL-1 beta
P08441394A1297|80 84|c-fos
P08441394A1297|112 116|c-myc
P08441394A1297|147 149|Ras
P08441411A1260|192 195|IL-2
P08441423A0145|94 97|GCN4
P08443340A0522|120 137|beta-glucuronidase
P08444345A0403|135 138|DbpB
P08444345A0403|94 97|DbpB
P08446579A0784|158 161|VP16
P08449978A0000|99 111|protein kinase
P08449978A0000|197 203|cyclins
P08449986A0455|48 55|MMI alpha
P08454591A1322|40 42|TNF
P08454591A1322|114 120|NF-IL-6
P08454591A1322|34 37|IL-1
P08454591A1322|106 109|AP-1
P08455611A0000|138 152|zeta 2 globin gene
P08455623A0630|129 132|GAR1
P08457291A0170|111 131|cellular c-fos oncogene
P08460918A0252|151 169|alkaline phosphatase
P08463284A1531|13 15|PKC
